genome,prefix
GCA_003846335.1_ASM384633v1_genomic.fna,cuomcc
GCA_003942145.1_ASM394214v1_genomic.fna,plameg
GCA_004028625.2_ASM402862v2_genomic.fna,cuoamb
GCA_007399415.1_rGopEvg1_v1.p_genomic.fna,gopevg
GCA_007922155.1_Mesoclemmys_tuberculata-1.0_genomic.fna,mestub
GCA_007922175.1_Pelusios_castaneus-1.0_genomic.fna,pelcas
GCA_007922225.1_Emydura_subglobosa-1.0_genomic.fna,emysub
GCA_007922305.1_Dermatemys_mawii-1.0_genomic.fna,dermaw
GCA_009764565.4_rDerCor1.pri.v4_genomic.fna,dercor
GCA_011386835.2_ASM1138683v2_genomic.fna,chrpic2
GCA_013100865.1_CAS_Tse_1.0_genomic.fna,trascr
GCA_015237465.2_rCheMyd1.pri.v2_genomic.fna,chemyd
GCA_016161935.1_ASM1616193v1_genomic.fna,mauree
